ACEITE,ANALISE,ATRASO1,ATRASO2,ATRASO_TXT,ATUALIZADO,BASECOMISS,BLOQ_243D,CLIENTE,CODIGO,COMISSAO,COMISSAO2,COMIS_NF,COND_PGTO,DATA_FABR,DESCONTO,DESCONTO2,DIGITACAO,DIGITANDO,DOCTO_PGTO,EMBARQUEF,EMBARQUEI,EPP,EPPPROD,EPPRESERVA,EPP_P_ANT,EPP_R_ANT,EXPEDICAO,FABRICA,FAB_ID,FATURADOS,HORA,HORA_ATU,HORA_FABR,IMP_ROTULO,INFORMAFAT,LEPOSTICHE,LOJA,MARC_REMES,MERCADO,MOTIVO,NAO_COMPRA,NAO_CONSUL,NAO_REMESS,NET,NFOBS,NOME,NPED_INT,N_ITENS,OBS_EXPED,OC,OPCAO34,OPERADOR,OPER_ALT,PEDCLIENTE,PERC_NF,PLANOFAB,PRAZOMEDIO,PREVISAO,PREVPROD,PRIORIDADE,PRODUCAO,PROGRAMADO,PRONTAENTR,REMESSA,REPROVACAO,SALDO,SEMANA,SEMST,STATUS,TIPODOCTO,TIPOFRETE,TIPOPEDIDO,TOTAL,TRANSPORT,VENDA,VENDALOJA,VENDEDOR,VENDEDOR2,WEB_ID
,,,,,2026-03-10,,,000380,000003,,,0.0,000,,,,2026-03-10,,,,,,False,False,False,False,0,,,0,09:48,09:49,,,False,,,False,,,False,False,False,,,BRUNA IND Eamp; COM DE CALCADOS LTD,,,,,,GISELE,GISELE,10.03,,,0,2026-03-27,,,0,,False,,,193,,,,,,,193,,2026-03-10,,000002,,
,,,,,2026-03-10,,,000380,00002R,,,0.0,000,,,,2026-03-10,,,,,,False,False,False,False,0,,,0,09:50,09:50,,,False,,,False,,,False,False,False,,,BRUNA IND Eamp; COM DE CALCADOS LTD,,,,,,GISELE,GISELE,10-03,,,0,2026-03-20,,,0,,False,,,38,,,,,,,38,,2026-03-10,,000002,,
,,,,,2026-03-11,,,000377,000004,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,14:29,14:30,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4514,,,35,2026-03-27,,,0,,False,,,286,,,,,,,286,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000005,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,14:30,14:30,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4516,,,35,2026-03-27,,,0,,False,,,217,,,,,,,217,,2026-03-11,,000002,,
,,,,,2026-03-13,,,000377,000006,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,14:30,10:58,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4515,,,35,2026-03-27,,,0,,False,,,458,,,,,,,458,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000010,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,17:39,17:39,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4519,,,35,2026-03-30,,,0,,False,,,117,,,,,,,117,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000011,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,17:40,17:41,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4524,,,35,2026-03-30,,,0,,False,,,632,,,,,,,632,,2026-03-11,,000002,,
,,,,,2026-03-13,,,000374,000012,,,0.0,021,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,17:41,15:21,,,False,,,False,,,False,False,False,,,D MATTHES CALCADOS LTDA,,,,,,GISELE,GISELE,2308,,,21,2026-04-01,,,0,,False,,,225,,,,,,,225,,2026-03-11,,000003,,
,,,,,2026-03-11,,,000368,000007,,,0.0,028,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,16:18,16:18,,,False,,,False,,,False,False,False,,,SUGAR SHOES INDUSTRIA DE CALCADOS L,,,,,,GISELE,GISELE,11/03,,,28,2026-03-30,,,0,,False,,,19,,,,,,,19,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000377,000008,,,0.0,028035042,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,16:18,16:18,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,11.05,,,35,2026-03-30,,,0,,False,,,92,,,,,,,92,,2026-03-11,,000002,,
,,,,,2026-03-11,,,000373,000009,,,0.0,014,,,,2026-03-11,,,,,,False,False,False,False,0,,,0,16:18,16:19,,,False,,,False,,,False,False,False,,,CALCADOS R.M.S. LTDA,,,,,,GISELE,GISELE,11.03,,,14,2026-03-30,,,0,,False,,,62,,,,,,,62,,2026-03-11,,000002,,
,,,,,2026-03-17,,,000374,000013,,,0.0,021,,,,2026-03-12,,,,,,False,False,False,False,0,,,180,16:25,11:17,,,False,,,False,,,False,False,False,,,D MATTHES CALCADOS LTDA,,,,,,GISELE,GISELE,2116,,,21,2026-03-12,,,0,,False,,,-90,,,,,,,90,,2026-03-12,,000003,,
,,,,,2026-03-09,,,000368,000001,,,0.0,028,,,,2026-03-09,,,,,,False,False,False,False,0,,,0,16:32,16:34,,,False,,,False,,,False,False,False,,,SUGAR SHOES INDUSTRIA DE CALCADOS L,,,,,,GISELE,GISELE,11339,,,28,2026-03-23,,,0,,False,,,1116,,,,,,,1116,,2026-03-09,,000002,,
,,,,,2026-03-10,,,000379,000002,,,0.0,028035042,,,,2026-03-10,,,,,,False,False,False,False,0,,,0,07:51,07:59,,,False,,,False,,,False,False,False,,,FASCINIO CALCADOS E BOLSAS LTDA,,,,,,GISELE,GISELE,10532,,,35,2026-03-27,,,0,,False,,,4137,,,,,,,4137,,2026-03-10,,000002,,
,,,,,2026-03-17,,,000380,00001R,,,0.0,000,,,,2026-03-10,,,,,,False,False,False,False,0,,,0,09:47,11:16,,,False,,,False,,,False,False,False,,,BRUNA IND Eamp; COM DE CALCADOS LTD,,,,,,GISELE,GISELE,10/03,,,0,2026-03-13,,,0,,False,,,14,,,,,,,14,,2026-03-10,,000002,,
,,,,,2026-03-16,,,000383,00002A,,,0.0,028,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:31,11:32,,,False,,,False,,,False,False,False,,,IND DE CALCADOS WIRTH LTDA,,,,,,GISELE,GISELE,1257486,,,28,2026-03-20,,,0,,False,,,10,,,,,,,10,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000383,00003A,,,0.0,028,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:32,11:32,,,False,,,False,,,False,False,False,,,IND DE CALCADOS WIRTH LTDA,,,,,,GISELE,GISELE,1257487,,,28,2026-03-20,,,0,,False,,,8,,,,,,,8,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000384,000021,,,0.0,028035042,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:34,15:35,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9811,,,35,2026-03-20,,,0,,False,,,50,,,,,,,50,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000367,000014,,,0.0,028035042,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:19,11:23,,,False,,,False,,,False,False,False,,,ZENGLEIN IND E COM DE CALCADOS LTDA,,,,,,GISELE,GISELE,290117,,,35,2026-04-03,,,0,,False,,,369,,,,,,,369,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000377,000015,,,0.0,028035042,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:24,11:24,,,False,,,False,,,False,False,False,,,CALCADOS V.S.T LTDA,,,,,,GISELE,GISELE,4518,,,35,2026-04-03,,,0,,False,,,166,,,,,,,166,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000371,000016,,,0.0,021028,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:25,11:25,,,False,,,False,,,False,False,False,,,WERNER CALCADOS LTDA,,,,,,GISELE,GISELE,45007,,,24,2026-03-23,,,0,,False,,,436,,,,,,,436,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000385,000017,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:25,11:26,,,False,,,False,,,False,False,False,,,VANDERLEI SOMMAVILLA LTDA,,,,,,GISELE,GISELE,1703,,,0,2026-04-03,,,0,,False,,,93,,,,,,,93,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000368,00001A,,,0.0,028,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:26,11:27,,,False,,,False,,,False,False,False,,,SUGAR SHOES INDUSTRIA DE CALCADOS L,,,,,,GISELE,GISELE,11598,,,28,2026-03-20,,,0,,False,,,10,,,,,,,10,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000383,000018,,,0.0,028,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:27,11:28,,,False,,,False,,,False,False,False,,,IND DE CALCADOS WIRTH LTDA,,,,,,GISELE,GISELE,1257399,,,28,2026-04-16,,,0,,False,,,36,,,,,,,36,,2026-03-16,,000002,,
,,,,,2026-03-16,,,000384,000019,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:29,11:30,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,6940,,,0,2026-04-03,,,0,,False,,,230,,,,,,,230,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000020,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,11:30,11:30,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,7013,,,0,2026-04-03,,,0,,False,,,40,,,,,,,40,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000022,,,0.0,090,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:35,15:35,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9812,,,90,2026-03-20,,,0,,False,,,55,,,,,,,55,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000023,,,0.0,090,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:36,15:36,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9813,,,90,2026-03-20,,,0,,False,,,60,,,,,,,60,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000024,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:36,15:37,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9814,,,0,2026-03-20,,,0,,False,,,45,,,,,,,45,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000025,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:38,15:38,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9815,,,0,2026-03-20,,,0,,False,,,50,,,,,,,50,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000026,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:38,15:39,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9816,,,0,2026-03-20,,,0,,False,,,55,,,,,,,55,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000027,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:39,15:39,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9817,,,0,2026-03-20,,,0,,False,,,60,,,,,,,60,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000028,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:39,15:39,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9818,,,0,2026-03-20,,,0,,False,,,45,,,,,,,45,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000029,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:40,15:40,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9807,,,0,2026-03-20,,,0,,False,,,60,,,,,,,60,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000030,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:40,15:41,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9808,,,0,2026-03-20,,,0,,False,,,60,,,,,,,60,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000031,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:41,15:41,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9809,,,0,2026-03-20,,,0,,False,,,60,,,,,,,60,,2026-03-16,,000001,,
,,,,,2026-03-16,,,000384,000032,,,0.0,000,,,,2026-03-16,,,,,,False,False,False,False,0,,,0,15:41,15:42,,,False,,,False,,,False,False,False,,,IND DE CALCADOS GRAZIELA LTDA,,,,,,GISELE,GISELE,9810,,,0,2026-03-20,,,0,,False,,,60,,,,,,,60,,2026-03-16,,000001,,
,,,,,2026-03-17,,,000368,00004A,,,0.0,028,,,,2026-03-17,,,,,,False,False,False,False,0,,,0,13:08,13:08,,,False,,,False,,,False,False,False,,,SUGAR SHOES INDUSTRIA DE CALCADOS L,,,,,,GISELE,GISELE,11706,,,28,2026-03-18,,,0,,False,,,6,,,,,,,6,,2026-03-17,,000002,,
,,,,,2026-03-17,,,000383,00005A,,,0.0,028,,,,2026-03-17,,,,,,False,False,False,False,0,,,0,16:12,16:15,,,False,,,False,,,False,False,False,,,IND DE CALCADOS WIRTH LTDA,,,,,,GISELE,GISELE,1257639,,,28,2026-03-20,,,0,,False,,,7,,,,,,,7,,2026-03-17,,000002,,
,,,,,2026-03-18,,,000383,00006A,,,0.0,028035042,,,,2026-03-18,,,,,,False,False,False,False,0,,,0,10:20,10:26,,,False,,,False,,,False,False,False,,,IND DE CALCADOS WIRTH LTDA,,,,,,GISELE,GISELE,1257716,,,35,2026-03-20,,,0,,False,,,27,,,,,,,27,,2026-03-18,,000002,,
,,,,,2026-03-18,,,000383,00007A,,,0.0,028,,,,2026-03-18,,,,,,False,False,False,False,0,,,0,10:26,16:30,,,False,,,False,,,False,False,False,,,IND DE CALCADOS WIRTH LTDA,,,,,,GISELE,GISELE,1257717,,,28,2026-03-20,,,0,,False,,,27,,,,,,,27,,2026-03-18,,000002,,
