AGRUPADO,ATUALIZADO,BLOQ_2469,CANCELADO,CODIGO,DE_ATE,DE_ESTOQUE,DTULTSETOR,EMPROD,EXPEDICAO,FATURADO,GRADE,HORA_ATU,IMPRESSO,IMP_ETIQ,ITEM,ITEMNF,LOTE,MATERIAL,MI,NFISCAL,NOME,NUMEROS,PEDIDO,PRODUCAO,QTDE_ETIQ,QUEBORIGEM,REFERENCIA,REMESSA,SERIE,SETORESTOQ,TOTAL,ULTSETOR
False,2026-03-13,False,False,00001702,002-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000001500000000000000000000000000000000000000000000000000015,000003,,,,,000018,,,15,
False,2026-03-13,False,False,00001703,003-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000300000000000000000000000000000000000000000000000030,000003,,,,,000018,,,30,
False,2026-03-13,False,False,00001704,004-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000040000000000000000000000000000000000000000000040,000003,,,,,000018,,,40,
False,2026-03-13,False,False,00001705,005-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000000004000000000000000000000000000000000000000040,000003,,,,,000018,,,40,
False,2026-03-13,False,False,00001706,006-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000000000000300000000000000000000000000000000000030,000003,,,,,000018,,,30,
False,2026-03-13,False,False,00001707,007-007,False,,,,,,11:17,True,,001,,000001,,N,,,00000000000000000000000000000030000000000000000000000000000000030,000003,,,,,000018,,,30,
False,2026-03-17,False,False,00002806,006-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000030000000000000000000000000000000030,000019,,,,,000027,,,30,
False,2026-03-17,False,False,00002807,007-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000004000000000000000000000000000040,000019,,,,,000027,,,40,
False,2026-03-17,False,False,00002808,008-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000100000000000000000000000010,000019,,,,,000027,,,10,
False,2026-03-13,False,False,00001901,001-008,False,,,,,,14:54,True,,001,,000001,,N,,,00080000000000000000000000000000000000000000000000000000000000008,000006,,,,,000020,,,8,
False,2026-03-13,False,False,00001902,002-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000035000000000000000000000000000000000000000000000000000000035,000006,,,,,000020,,,35,
False,2026-03-13,False,False,00001903,003-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000008000000000000000000000000000000000000000000000000000080,000006,,,,,000020,,,80,
False,2026-03-13,False,False,00001904,004-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000980000000000000000000000000000000000000000000000098,000006,,,,,000020,,,98,
False,2026-03-13,False,False,00001905,005-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000108000000000000000000000000000000000000000000108,000006,,,,,000020,,,108,
False,2026-03-13,False,False,00001906,006-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000000007200000000000000000000000000000000000000072,000006,,,,,000020,,,72,
False,2026-03-13,False,False,00001907,007-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000000000000450000000000000000000000000000000000045,000006,,,,,000020,,,45,
False,2026-03-13,False,False,00001908,008-008,False,,,,,,14:54,True,,001,,000001,,N,,,00000000000000000000000000000012000000000000000000000000000000012,000006,,,,,000020,,,12,
False,2026-03-13,False,False,00002001,001-001,False,,,,,,14:55,True,,001,,000001,,S,,,00000009001600260032001800130003000000000000000000000000000000117,000010,,,,,000021,,,117,
False,2026-03-13,False,False,00002101,001-010,False,,,,,,14:55,True,,001,,000001,,N,,,00060000000000000000000000000000000000000000000000000000000000006,000011,,,,,000022,,,6,
False,2026-03-13,False,False,00002102,002-010,False,,,,,,14:55,True,,001,,000001,,N,,,00000062000000000000000000000000000000000000000000000000000000062,000011,,,,,000022,,,62,
False,2026-03-13,False,False,00002103,003-010,False,,,,,,14:55,True,,001,,000001,,N,,,00000000012000000000000000000000000000000000000000000000000000120,000011,,,,,000022,,,120,
False,2026-03-13,False,False,00002104,004-010,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000001200000000000000000000000000000000000000000000000120,000011,,,,,000022,,,120,
False,2026-03-13,False,False,00002105,005-010,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000370000000000000000000000000000000000000000000000037,000011,,,,,000022,,,37,
False,2026-03-13,False,False,00002106,006-010,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000120000000000000000000000000000000000000000000120,000011,,,,,000022,,,120,
False,2026-03-13,False,False,00002107,007-010,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000021000000000000000000000000000000000000000000021,000011,,,,,000022,,,21,
False,2026-03-17,False,False,00002809,009-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000000020000000000000000000020,000019,,,,,000027,,,20,
False,2026-03-17,False,False,00002810,010-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000000000002000000000000000020,000019,,,,,000027,,,20,
False,2026-03-17,False,False,00002811,011-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000000000000000100000000000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002812,012-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000000000000000000010000000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002813,013-013,False,,,,,,09:00,True,,001,,000001,,N,,,00000000000000000000000000000000000000000000000000000000001000010,000019,,,,,000027,,,10,
False,2026-03-17,False,False,00002901,001-001,False,,,,,,09:01,True,,001,,000001,,S,,,00000000000000000001000200070010000900110000000000000000000000040,000020,,,,,000028,,,40,
False,2026-03-17,False,False,00003001,001-001,False,,,,,,09:01,True,,001,,000001,,S,,,00000000000000100010001000100010001000000000000000000000000000060,000032,,,,,000029,,,60,
False,2026-03-17,False,False,00003101,001-001,False,,,,,,09:02,True,,001,,000001,,S,,,00250025001000000000000000000000000000000000000000000000000000060,000031,,,,,000030,,,60,
False,2026-03-18,False,False,00000001,001-001,False,,,,,,16:30,True,,001,,000001,,S,,,00000000000200020002000000010000000000000000000000000000000000007,00005A,,,,,000048,,,7,
False,2026-03-18,False,False,00000201,001-001,False,,,,,,16:30,True,,001,,000001,,S,,,00000003000500050005000500020002000000000000000000000000000000027,00007A,,,,,000048,,,27,
False,2026-03-13,False,False,00000606,006-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000120000000000000000000000000000000120,000001,,,,,000007,,,120,
False,2026-03-13,False,False,00000607,007-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000047000000000000000000000000000000047,000001,,,,,000007,,,47,
False,2026-03-13,False,False,00000608,008-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000012000000000000000000000000000120,000001,,,,,000007,,,120,
False,2026-03-13,False,False,00000609,009-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000012000000000000000000000000000120,000001,,,,,000007,,,120,
False,2026-03-13,False,False,00000610,010-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000007200000000000000000000000000072,000001,,,,,000007,,,72,
False,2026-03-13,False,False,00000611,011-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000000001200000000000000000000000120,000001,,,,,000007,,,120,
False,2026-03-13,False,False,00000612,012-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000000000850000000000000000000000085,000001,,,,,000007,,,85,
False,2026-03-13,False,False,00000613,013-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000000000000075000000000000000000075,000001,,,,,000007,,,75,
False,2026-03-13,False,False,00000614,014-014,False,,,,,,11:15,True,,001,,000001,,N,,,00000000000000000000000000000000000000000000002300000000000000023,000001,,,,,000007,,,23,
False,2026-03-13,False,False,00000701,001-001,False,,,,,,11:15,True,,001,,000001,,S,,,00000007001800260024001500060000000000000000000000000000000000096,000002,,,,,000008,,,96,
False,2026-03-13,False,False,00000801,001-001,False,,,,,,11:16,True,,002,,000001,,S,,,00000001000200030003000200010000000000000000000000000000000000012,000002,,,,,000009,,,12,
False,2026-03-13,False,False,00000901,001-001,False,,,,,,11:16,True,,003,,000001,,S,,,00000004000700100011000700030000000000000000000000000000000000042,000002,,,,,000010,,,42,
False,2026-03-13,False,False,00001001,001-001,False,,,,,,11:16,True,,004,,000001,,S,,,00000001000200020002000100010000000000000000000000000000000000009,000002,,,,,000011,,,9,
False,2026-03-13,False,False,00001101,001-001,False,,,,,,11:16,True,,005,,000001,,S,,,00000001000300050005000300010000000000000000000000000000000000018,000002,,,,,000012,,,18,
False,2026-03-13,False,False,00001201,001-006,False,,,,,,11:16,True,,006,,000001,,N,,,00000017000000000000000000000000000000000000000000000000000000017,000002,,,,,000013,,,17,
False,2026-03-13,False,False,00001202,002-006,False,,,,,,11:16,True,,006,,000001,,N,,,00000000003600000000000000000000000000000000000000000000000000036,000002,,,,,000013,,,36,
False,2026-03-13,False,False,00001203,003-006,False,,,,,,11:16,True,,006,,000001,,N,,,00000000000000540000000000000000000000000000000000000000000000054,000002,,,,,000013,,,54,
False,2026-03-18,False,False,00005101,001-001,False,,,,,,10:29,True,,001,,000001,,S,,,00000000000200020002000000010000000000000000000000000000000000007,00005A,,,,,000048,,,7,
False,2026-03-18,False,False,00005201,001-001,False,,,,,,10:29,True,,001,,000001,,S,,,00000003000500050005000500020002000000000000000000000000000000027,00006A,,,,,000048,,,27,
False,2026-03-18,False,False,00005301,001-001,False,,,,,,10:29,True,,001,,000001,,S,,,00000003000500050005000500020002000000000000000000000000000000027,00007A,,,,,000048,,,27,
False,2026-03-17,False,False,00003201,001-001,False,,,,,,09:02,True,,001,,000001,,S,,,00000000000000100010001000100010001000000000000000000000000000060,000030,,,,,000031,,,60,
False,2026-03-18,False,False,00000101,001-001,False,,,,,,16:30,True,,001,,000001,,S,,,00000003000500050005000500020002000000000000000000000000000000027,00006A,,,,,000048,,,27,
False,2026-03-17,False,False,00002601,001-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000004000000000000000000000000000000000000000000000000000000004,000014,,,,,000026,,,4,
False,2026-03-17,False,False,00002602,002-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000000001400000000000000000000000000000000000000000000000000014,000014,,,,,000026,,,14,
False,2026-03-17,False,False,00002603,003-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000000000000330000000000000000000000000000000000000000000000033,000014,,,,,000026,,,33,
False,2026-03-17,False,False,00002604,004-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000000000000000028000000000000000000000000000000000000000000028,000014,,,,,000026,,,28,
False,2026-03-17,False,False,00002605,005-007,False,,,,,,09:00,True,,002,,000001,,N,,,00000000000000000000004000000000000000000000000000000000000000040,000014,,,,,000026,,,40,
False,2026-03-17,False,False,00003301,001-001,False,,,,,,09:02,True,,001,,000001,,S,,,00250025001000000000000000000000000000000000000000000000000000060,000029,,,,,000032,,,60,
False,2026-03-17,False,False,00003401,001-001,False,,,,,,09:02,True,,001,,000001,,S,,,00000000000000000000000000250000000000000020000000000000000000045,000028,,,,,000033,,,45,
False,2026-03-17,False,False,00003501,001-001,False,,,,,,09:03,True,,001,,000001,,S,,,00100010001000000000000000000000000000250000000000000000000000055,000022,,,,,000034,,,55,
False,2026-03-17,False,False,00003601,001-001,False,,,,,,09:03,True,,001,,000001,,S,,,00000000000000000000000000000025002500000000000000000000000000050,000021,,,,,000035,,,50,
False,2026-03-17,False,False,00003701,001-001,False,,,,,,09:03,True,,001,,000001,,S,,,00000000000000200020002000000000000000000000000000000000000000060,000023,,,,,000036,,,60,
False,2026-03-17,False,False,00003801,001-001,False,,,,,,09:03,True,,001,,000001,,S,,,00000000000000000000000000250000000000000020000000000000000000045,000024,,,,,000037,,,45,
False,2026-03-17,False,False,00003901,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00000000000000000000000000000025002500000000000000000000000000050,000025,,,,,000038,,,50,
False,2026-03-17,False,False,00004901,001-001,False,,,,,,09:31,True,,001,,000001,,S,,,00000000000200020002000200000000000000000000000000000000000000008,00003A,,,,,000046,,,8,
False,2026-03-17,False,False,00005001,001-001,False,,,,,,13:09,True,,001,,000001,,S,,,00000000000600000000000000000000000000000000000000000000000000006,00004A,,,,,000047,,,6,
False,2026-03-17,False,False,00004001,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00100010001000000000000000000000000000250000000000000000000000055,000026,,,,,000039,,,55,
False,2026-03-17,False,False,00004101,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00000000000000200020002000000000000000000000000000000000000000060,000027,,,,,000040,,,60,
False,2026-03-17,False,False,00004201,001-001,False,,,,,,09:04,True,,001,,000001,,S,,,00000006000600120012001200120000000000000000000000000000000000060,000017,,,,,000041,,,60,
False,2026-03-17,False,False,00004301,001-001,False,,,,,,09:04,True,,002,,000001,,S,,,00000003000300060006000600060003000000000000000000000000000000033,000017,,,,,000041,,,33,
False,2026-03-17,False,False,00004401,001-008,False,,,,,,09:04,True,,001,,000001,,N,,,00020000000000000000000000000000000000000000000000000000000000002,000015,,,,,000042,,,2,
False,2026-03-17,False,False,00004402,002-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000014000000000000000000000000000000000000000000000000000000014,000015,,,,,000042,,,14,
False,2026-03-17,False,False,00004403,003-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000002300000000000000000000000000000000000000000000000000023,000015,,,,,000042,,,23,
False,2026-03-17,False,False,00004404,004-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000340000000000000000000000000000000000000000000000034,000015,,,,,000042,,,34,
False,2026-03-17,False,False,00004405,005-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000039000000000000000000000000000000000000000000039,000015,,,,,000042,,,39,
False,2026-03-17,False,False,00004406,006-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000000002900000000000000000000000000000000000000029,000015,,,,,000042,,,29,
False,2026-03-17,False,False,00004407,007-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000000000000190000000000000000000000000000000000019,000015,,,,,000042,,,19,
False,2026-03-17,False,False,00004408,008-008,False,,,,,,09:04,True,,001,,000001,,N,,,00000000000000000000000000000006000000000000000000000000000000006,000015,,,,,000042,,,6,
False,2026-03-17,False,False,00004501,001-006,False,,,,,,09:05,True,,001,,000001,,N,,,00000050000000000000000000000000000000000000000000000000000000050,000016,,,,,000043,,,50,
False,2026-03-17,False,False,00004502,002-006,False,,,,,,09:05,True,,001,,000001,,N,,,00000000005900000000000000000000000000000000000000000000000000059,000016,,,,,000043,,,59,
False,2026-03-17,False,False,00004503,003-006,False,,,,,,09:05,True,,001,,000001,,N,,,00000000000001090000000000000000000000000000000000000000000000109,000016,,,,,000043,,,109,
False,2026-03-17,False,False,00004504,004-006,False,,,,,,09:05,True,,001,,000001,,N,,,00000000000000000109000000000000000000000000000000000000000000109,000016,,,,,000043,,,109,
False,2026-03-17,False,False,00004505,005-006,False,,,,,,09:05,True,,001,,000001,,N,,,00000000000000000000005900000000000000000000000000000000000000059,000016,,,,,000043,,,59,
False,2026-03-17,False,False,00004506,006-006,False,,,,,,09:05,True,,001,,000001,,N,,,00000000000000000000000000500000000000000000000000000000000000050,000016,,,,,000043,,,50,
False,2026-03-17,False,False,00004601,001-001,False,,,,,,09:05,True,,001,,000001,,S,,,00000000000200080012000800040002000000000000000000000000000000036,000018,,,,,000044,,,36,
False,2026-03-17,False,False,00004701,001-001,False,,,,,,09:31,True,,001,,000001,,S,,,00000010000000000000000000000000000000000000000000000000000000010,00001A,,,,,000045,,,10,
False,2026-03-17,False,False,00004801,001-001,False,,,,,,09:31,True,,001,,000001,,S,,,00000000000200020002000400000000000000000000000000000000000000010,00002A,,,,,000046,,,10,
False,2026-03-13,False,False,00002205,005-006,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000000000000000000000000000030000000000000000000030,000012,,,,,000023,,,30,
False,2026-03-13,False,False,00002206,006-006,False,,,,,,14:55,True,,001,,000001,,N,,,00000000000000000000000000000000000000000000001500000000000000015,000012,,,,,000023,,,15,
False,2026-03-13,False,False,00002301,001-001,False,,,,,,14:55,True,,002,,000001,,S,,,00000000000000000000001500150000001500150015001500000000000000090,000012,,,,,000024,,,90,
False,2026-03-17,False,False,00002401,001-001,False,,True,,,,11:19,True,,001,,000001,,S,,,00000000000000000000002000200000001000100020001000000000000000090,000013,,,,,000025,,,90,
